#Ex-MESA profile, from 0.77M_RGB_jstaff.data
#[Mass]                  [Pressure]              [Temperature]           [Radius]                [Density]               [E_internal]            
1.5370803e+33           5.3387201e+02           3.0817921e+03           1.1743269e+13           2.8022777e-09           2.8577040e+11          
1.5370803e+33           5.3387201e+02           3.0817921e+03           1.1743269e+13           2.8022777e-09           2.8577040e+11          
1.5370803e+33           5.3387201e+02           3.0817921e+03           1.1743269e+13           2.8022777e-09           2.8577040e+11          
1.5370803e+33           5.3387202e+02           3.0817921e+03           1.1743269e+13           2.8022777e-09           2.8577040e+11          
1.5370803e+33           5.3387203e+02           3.0817921e+03           1.1743269e+13           2.8022777e-09           2.8577041e+11          
1.5370803e+33           5.3387207e+02           3.0817922e+03           1.1743269e+13           2.8022777e-09           2.8577043e+11          
1.5370803e+33           5.3387212e+02           3.0817922e+03           1.1743269e+13           2.8022777e-09           2.8577046e+11          
1.5370803e+33           5.3387220e+02           3.0817923e+03           1.1743269e+13           2.8022777e-09           2.8577050e+11          
1.5370803e+33           5.3387232e+02           3.0817923e+03           1.1743269e+13           2.8022777e-09           2.8577056e+11          
1.5370803e+33           5.3387246e+02           3.0817924e+03           1.1743269e+13           2.8022876e-09           2.8576963e+11          
1.5370803e+33           5.3387265e+02           3.0817926e+03           1.1743269e+13           2.8022876e-09           2.8576973e+11          
1.5370803e+33           5.3387289e+02           3.0817928e+03           1.1743269e+13           2.8022876e-09           2.8576986e+11          
1.5370803e+33           5.3387323e+02           3.0817930e+03           1.1743269e+13           2.8022876e-09           2.8577004e+11          
1.5370803e+33           5.3387367e+02           3.0817933e+03           1.1743269e+13           2.8022899e-09           2.8577005e+11          
1.5370803e+33           5.3387430e+02           3.0817938e+03           1.1743268e+13           2.8022899e-09           2.8577038e+11          
1.5370803e+33           5.3387512e+02           3.0817944e+03           1.1743268e+13           2.8023012e-09           2.8576967e+11          
1.5370803e+33           5.3387632e+02           3.0817952e+03           1.1743268e+13           2.8022999e-09           2.8577044e+11          
1.5370803e+33           5.3387790e+02           3.0817964e+03           1.1743267e+13           2.8023083e-09           2.8577043e+11          
1.5370803e+33           5.3388020e+02           3.0817980e+03           1.1743266e+13           2.8023226e-09           2.8577021e+11          
1.5370803e+33           5.3388323e+02           3.0818002e+03           1.1743265e+13           2.8023326e-09           2.8577080e+11          
1.5370803e+33           5.3388766e+02           3.0818034e+03           1.1743263e+13           2.8023546e-09           2.8577093e+11          
1.5370803e+33           5.3389350e+02           3.0818076e+03           1.1743260e+13           2.8023754e-09           2.8577194e+11          
1.5370803e+33           5.3390202e+02           3.0818138e+03           1.1743258e+13           2.8024220e-09           2.8577175e+11          
1.5370802e+33           5.3391324e+02           3.0818219e+03           1.1743252e+13           2.8024641e-09           2.8577346e+11          
1.5370802e+33           5.3392954e+02           3.0818337e+03           1.1743247e+13           2.8025396e-09           2.8577448e+11          
1.5370802e+33           5.3395091e+02           3.0818491e+03           1.1743237e+13           2.8026418e-09           2.8577550e+11          
1.5370801e+33           5.3398165e+02           3.0818713e+03           1.1743226e+13           2.8027802e-09           2.8577784e+11          
1.5370800e+33           5.3402177e+02           3.0819002e+03           1.1743207e+13           2.8029605e-09           2.8578093e+11          
1.5370799e+33           5.3407873e+02           3.0819413e+03           1.1743188e+13           2.8032179e-09           2.8578516e+11          
1.5370797e+33           5.3415253e+02           3.0819946e+03           1.1743152e+13           2.8035495e-09           2.8579085e+11          
1.5370796e+33           5.3425560e+02           3.0820690e+03           1.1743117e+13           2.8040180e-09           2.8579824e+11          
1.5370793e+33           5.3438796e+02           3.0821646e+03           1.1743054e+13           2.8046104e-09           2.8580866e+11          
1.5370790e+33           5.3456936e+02           3.0822955e+03           1.1742990e+13           2.8054337e-09           2.8582178e+11          
1.5370784e+33           5.3479981e+02           3.0824619e+03           1.1742880e+13           2.8064759e-09           2.8583881e+11          
1.5370779e+33           5.3510937e+02           3.0826853e+03           1.1742769e+13           2.8078840e-09           2.8586083e+11          
1.5370770e+33           5.3549804e+02           3.0829659e+03           1.1742583e+13           2.8096400e-09           2.8588968e+11          
1.5370761e+33           5.3601021e+02           3.0833356e+03           1.1742397e+13           2.8119518e-09           2.8592784e+11          
1.5370746e+33           5.3664590e+02           3.0837944e+03           1.1742093e+13           2.8148259e-09           2.8597465e+11          
1.5370731e+33           5.3746999e+02           3.0843892e+03           1.1741789e+13           2.8185520e-09           2.8603517e+11          
1.5370707e+33           5.3848259e+02           3.0851200e+03           1.1741306e+13           2.8231266e-09           2.8610969e+11          
1.5370684e+33           5.3978051e+02           3.0860567e+03           1.1740824e+13           2.8289843e-09           2.8620547e+11          
1.5370647e+33           5.4136399e+02           3.0871994e+03           1.1740071e+13           2.8361376e-09           2.8632108e+11          
1.5370610e+33           5.4338294e+02           3.0886564e+03           1.1739321e+13           2.8452297e-09           2.8647051e+11          
1.5370553e+33           5.4583791e+02           3.0904279e+03           1.1738161e+13           2.8562887e-09           2.8665060e+11          
