#Ex-MESA profile, from P12_MESA_Profile.data
#[Mass]                  [Pressure]              [Temperature]           [Radius]                [Density]               [E_internal]            
1.7397411e+33           1.0027937e+03           3.4305973e+03           6.0594810e+12           4.7048632e-09           1.7663014e+12          
1.7397411e+33           1.0027937e+03           3.4305973e+03           6.0594810e+12           4.7048632e-09           1.7663014e+12          
1.7397411e+33           1.0027938e+03           3.4305974e+03           6.0594810e+12           4.7048632e-09           1.7663014e+12          
1.7397411e+33           1.0027939e+03           3.4305974e+03           6.0594810e+12           4.7048608e-09           1.7663052e+12          
1.7397411e+33           1.0027941e+03           3.4305975e+03           6.0594810e+12           4.7048608e-09           1.7663052e+12          
1.7397411e+33           1.0027945e+03           3.4305977e+03           6.0594809e+12           4.7048608e-09           1.7663052e+12          
1.7397411e+33           1.0027951e+03           3.4305979e+03           6.0594809e+12           4.7048608e-09           1.7663052e+12          
1.7397411e+33           1.0027961e+03           3.4305984e+03           6.0594809e+12           4.7048722e-09           1.7663052e+12          
1.7397411e+33           1.0027979e+03           3.4305992e+03           6.0594808e+12           4.7048812e-09           1.7663014e+12          
1.7397411e+33           1.0028012e+03           3.4306005e+03           6.0594806e+12           4.7048901e-09           1.7663043e+12          
1.7397411e+33           1.0028073e+03           3.4306031e+03           6.0594803e+12           4.7049170e-09           1.7663052e+12          
1.7397411e+33           1.0028189e+03           3.4306081e+03           6.0594798e+12           4.7049619e-09           1.7663089e+12          
1.7397411e+33           1.0028411e+03           3.4306176e+03           6.0594788e+12           4.7050593e-09           1.7663061e+12          
1.7397411e+33           1.0028830e+03           3.4306355e+03           6.0594768e+12           4.7052198e-09           1.7663085e+12          
1.7397410e+33           1.0029611e+03           3.4306690e+03           6.0594731e+12           4.7055553e-09           1.7663128e+12          
1.7397410e+33           1.0031052e+03           3.4307306e+03           6.0594663e+12           4.7061363e-09           1.7663220e+12          
1.7397410e+33           1.0033680e+03           3.4308430e+03           6.0594538e+12           4.7072036e-09           1.7663326e+12          
1.7397410e+33           1.0038393e+03           3.4310448e+03           6.0594310e+12           4.7091470e-09           1.7663558e+12          
1.7397409e+33           1.0046602e+03           3.4313965e+03           6.0593904e+12           4.7124961e-09           1.7663987e+12          
1.7397407e+33           1.0060517e+03           3.4319934e+03           6.0593207e+12           4.7181690e-09           1.7664702e+12          
1.7397405e+33           1.0084393e+03           3.4330198e+03           6.0592037e+12           4.7279308e-09           1.7665923e+12          
1.7397400e+33           1.0126900e+03           3.4348539e+03           6.0590009e+12           4.7452661e-09           1.7668085e+12          
1.7397392e+33           1.0201720e+03           3.4381041e+03           6.0586362e+12           4.7756860e-09           1.7671914e+12          
1.7397378e+33           1.0321453e+03           3.4433667e+03           6.0580074e+12           4.8241808e-09           1.7678110e+12          
1.7397357e+33           1.0564697e+03           3.4542520e+03           6.0570600e+12           4.9219229e-09           1.7690957e+12          
1.7397307e+33           1.1015727e+03           3.4753246e+03           6.0548631e+12           5.1001557e-09           1.7715882e+12          
1.7397226e+33           1.1596860e+03           3.5044860e+03           6.0513943e+12           5.3233787e-09           1.7750287e+12          
1.7397138e+33           1.2310067e+03           3.5431807e+03           6.0478278e+12           5.5875040e-09           1.7795372e+12          
1.7397019e+33           1.2906116e+03           3.5791779e+03           6.0431778e+12           5.7977207e-09           1.7836717e+12          
1.7396966e+33           1.3338140e+03           3.6065451e+03           6.0411911e+12           5.9453142e-09           1.7867698e+12          
1.7396894e+33           1.3938501e+03           3.6471934e+03           6.0385572e+12           6.1422573e-09           1.7912964e+12          
1.7396792e+33           1.4812259e+03           3.7123765e+03           6.0349629e+12           6.4106672e-09           1.7983977e+12          
1.7396642e+33           1.5753241e+03           3.7940526e+03           6.0298488e+12           6.6690993e-09           1.8070501e+12          
1.7396522e+33           1.6619513e+03           3.8794178e+03           6.0259245e+12           6.8792783e-09           1.8158314e+12          
1.7396394e+33           1.7311512e+03           3.9571145e+03           6.0218477e+12           7.0237104e-09           1.8236612e+12          
1.7396325e+33           1.7876854e+03           4.0244531e+03           6.0196848e+12           7.1307812e-09           1.8303427e+12          
1.7396233e+33           1.8514038e+03           4.1047603e+03           6.0168631e+12           7.2395809e-09           1.8382138e+12          
1.7396144e+33           1.9163429e+03           4.1893815e+03           6.0141507e+12           7.3413935e-09           1.8464147e+12          
1.7396049e+33           1.9657729e+03           4.2550205e+03           6.0113108e+12           7.4140746e-09           1.8527234e+12          
1.7396004e+33           2.0128286e+03           4.3177747e+03           6.0099714e+12           7.4807431e-09           1.8587431e+12          
1.7395916e+33           2.0698279e+03           4.3937581e+03           6.0073821e+12           7.5590536e-09           1.8660063e+12          
1.7395843e+33           2.1183703e+03           4.4578772e+03           6.0052546e+12           7.6246957e-09           1.8721107e+12          
1.7395779e+33           2.1873410e+03           4.5475276e+03           6.0034066e+12           7.7173594e-09           1.8806132e+12          
1.7395648e+33           2.2569910e+03           4.6340656e+03           5.9996789e+12           7.8142758e-09           1.8887415e+12          
1.7395583e+33           2.3111411e+03           4.6996945e+03           5.9978321e+12           7.8900391e-09           1.8949123e+12          
1.7395496e+33           2.3897164e+03           4.7919903e+03           5.9954053e+12           8.0010747e-09           1.9036109e+12          
1.7395362e+33           2.4719459e+03           4.8850470e+03           5.9917127e+12           8.1184352e-09           1.9124830e+12          
1.7395266e+33           2.5821594e+03           5.0085406e+03           5.9890853e+12           8.2706394e-09           1.9243757e+12          
1.7395055e+33           2.7097038e+03           5.1578285e+03           5.9834212e+12           8.4270844e-09           1.9388384e+12          
1.7394911e+33           2.7880407e+03           5.2569162e+03           5.9796432e+12           8.5066761e-09           1.9485220e+12          
1.7394837e+33           2.8574277e+03           5.3500461e+03           5.9777120e+12           8.5659321e-09           1.9577300e+12          
1.7394719e+33           2.9449273e+03           5.4827609e+03           5.9746396e+12           8.6132657e-09           1.9710905e+12          
1.7394595e+33           3.0202356e+03           5.6168699e+03           5.9714443e+12           8.6210676e-09           1.9849446e+12          
1.7394511e+33           3.0833094e+03           5.7458503e+03           5.9692685e+12           8.6017333e-09           1.9986865e+12          
1.7394422e+33           3.1321692e+03           5.8653397e+03           5.9669453e+12           8.5579104e-09           2.0118773e+12          
1.7394377e+33           3.1647679e+03           5.9535150e+03           5.9657771e+12           8.5169305e-09           2.0219869e+12          
1.7394332e+33           3.2158169e+03           6.1079425e+03           5.9646028e+12           8.4314212e-09           2.0405849e+12          
1.7394236e+33           3.2680104e+03           6.2971435e+03           5.9620752e+12           8.3043442e-09           2.0653800e+12          
1.7394189e+33           3.3028360e+03           6.4268556e+03           5.9607912e+12           8.2176981e-09           2.0840616e+12          
1.7394141e+33           3.3574670e+03           6.6278978e+03           5.9594931e+12           8.0888174e-09           2.1163704e+12          
1.7394039e+33           3.4133769e+03           6.8129182e+03           5.9566761e+12           7.9864377e-09           2.1505605e+12          
