# VERSION  10202
#
# format                    ions (mass fraction)     
# created at                Wed Sep  6 02:53:45 2017 
# created by                alex                     
# created on                aurum.maths.monash.edu   
# created from              /home/alex/Downloads/s1#hign
# file date                 Wed Sep  6 02:53:27 2017 
# created as                /home/alex/Downloads/s1@hign
# cycle                     3657                     
# time (sec)                5.92904631975508600e+15  
# time offset (sec)         0.00000000000000000e+00  
# GIT  SHA                  0000000000000000000000000000000000000000
# GIT  BRANCH               (NOT ON BRANCH)
# UUID PROG                 00000000-0000-0000-0000-000000000000 
# UUID RUN                  00000000-0000-0000-0000-000000000000 
# UUID CYCLE                00000000-0000-0000-0000-000000000000 
# UUID DUMP                 00000000-0000-0000-0000-000000000000 
# UUID EXEC                 00000000-0000-0000-0000-000000000000 
# UUID THIS FILE            99b91b9e-92ae-11e7-ae34-3417ebbdc1fc (Wed Sep  6 02:53:45 2017)
#
# grid                cell mass    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure   cell spec. int. energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e                      nt1                       h1                      he4                      c12                      n14                      o16                     ne20                     mg24                     si28                      s32                     ar36                     ca40                     ti44                     cr48                     fe52                     fe54                     ni56                     fe56                     'fe'
# unit                        g                        g                       cm                   cm/sec                  g/cm**3                        K                dyn/cm**2                    erg/g                kb/baryon                  rad/sec                      amu                                     mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction
     1  3.97839801079988994e+30  3.97839801079988994e+30  2.23995442932388878e+09 -3.15050985118875167e-09  8.45088264782063874e+01  1.35684324909949470e+07  1.55577984521419680e+17  2.74747649963375900e+15  1.59687254424296317e+01  0.00000000000000000e+00  1.29405427136779894e+00  8.50479435771475778e-01  0.00000000000000000e+00  7.00873167255713247e-01  2.83724159091303385e-01  1.12052240487196221e-05  3.69260191170019125e-03  6.61614668185568373e-03  1.30599353794390869e-03  7.91396084172139185e-04  8.29395896149018839e-04  4.23297905521931848e-04  1.13099440383961051e-04  7.38096347899203195e-05  3.82798105914944417e-06  3.42898303339186569e-05  0.00000000000000000e+00  1.46099277100764633e-03  0.00000000000000000e+00                        -                        -
     2  2.65226407137334419e+30  6.63066208217323412e+30  2.65976463345176125e+09 -3.70430929311454422e-09  8.35622449647999161e+01  1.34744965054353420e+07  1.52797026923283392e+17  2.72887015721875200e+15  1.59735398172224858e+01  0.00000000000000000e+00  1.29368367165770959e+00  8.50627258912932782e-01  0.00000000000000000e+00  7.01173133714273922e-01  2.83422043985350980e-01  1.10919669187029462e-05  3.69252745449768658e-03  6.61638278530809164e-03  1.30599353794390869e-03  7.91396084172139294e-04  8.29395896149018948e-04  4.23297905521931848e-04  1.13099440383961051e-04  7.38096347899203195e-05  3.82798105914944417e-06  3.42898303339186637e-05  0.00000000000000000e+00  1.46099277100764655e-03  0.00000000000000000e+00                        -                        -
     3  2.64846313406364148e+30  9.27912521623687560e+30  2.97914450482207441e+09 -4.11220955721449939e-09  8.29243692788227094e+01  1.34110003932274114e+07  1.50933200362715776e+17  2.71627688249703900e+15  1.59767388674927684e+01  0.00000000000000000e+00  1.29344058860385336e+00  8.50724275025741328e-01  0.00000000000000000e+00  7.01369966286845670e-01  2.83223704465240256e-01  1.10515751230068693e-05  3.69245229221779698e-03  6.61652254078413417e-03  1.30599353794390869e-03  7.91396084172139511e-04  8.29395896149019165e-04  4.23297905521931902e-04  1.13099440383961064e-04  7.38096347899203331e-05  3.82798105914944502e-06  3.42898303339186705e-05  0.00000000000000000e+00  1.46099277100764677e-03  0.00000000000000000e+00                        -                        -
     4  2.64466764384519340e+30  1.19237928600820684e+31  3.24301425393045330e+09 -4.43981139931545162e-09  8.23548490755479889e+01  1.33543881581301708e+07  1.49278423818687296e+17  2.70503849692216000e+15  1.59796016629174940e+01  0.00000000000000000e+00  1.29322825973069544e+00  8.50809053132660975e-01  0.00000000000000000e+00  7.01541941302961436e-01  2.83050349963713754e-01  1.10613505916691464e-05  3.69234222591796092e-03  6.61663529688287077e-03  1.30599353794390869e-03  7.91396084172139511e-04  8.29395896149019056e-04  4.23297905521931848e-04  1.13099440383961051e-04  7.38096347899203195e-05  3.82798105914944417e-06  3.42898303339186637e-05  0.00000000000000000e+00  1.46099277100764677e-03  0.00000000000000000e+00                        -                        -
     5  2.37678632243552905e+30  1.43005791825175969e+31  3.44931051091838694e+09 -4.68973906879423720e-09  8.18572902785398924e+01  1.33050835292745177e+07  1.47841828480775744e+17  2.69525912151045650e+15  1.59822146706147059e+01  0.00000000000000000e+00  1.29303685802675128e+00  8.50885496620286896e-01  0.00000000000000000e+00  7.01696873762509998e-01  2.82894190895064179e-01  1.11356761113357353e-05  3.69217218183408649e-03  6.61673053228584683e-03  1.30599353794390869e-03  7.91396084172139727e-04  8.29395896149019273e-04  4.23297905521931902e-04  1.13099440383961078e-04  7.38096347899203195e-05  3.82798105914944417e-06  3.42898303339186569e-05  0.00000000000000000e+00  1.46099277100764720e-03  0.00000000000000000e+00                        -                        -
     6  2.62470675084515713e+30  1.69252859333627541e+31  3.65276493968891716e+09 -4.93065638261944982e-09  8.13906313608462284e+01  1.32588898616957199e+07  1.46500886134928288e+17  2.68609727806083100e+15  1.59847113153078180e+01  0.00000000000000000e+00  1.29285605408629700e+00  8.50957728021143223e-01  0.00000000000000000e+00  7.01843201309472864e-01  2.82746697387742052e-01  1.12912457166996143e-05  3.69191665429540166e-03  6.61681513761813375e-03  1.30599353794390847e-03  7.91396084172139511e-04  8.29395896149018839e-04  4.23297905521931902e-04  1.13099440383961051e-04  7.38096347899202924e-05  3.82798105914944333e-06  3.42898303339186434e-05  0.00000000000000000e+00  1.46099277100764698e-03  0.00000000000000000e+00                        -                        -
     7  2.89848753457685369e+30  1.98237734679396077e+31  3.85503080421537590e+09 -5.16452797906113413e-09  8.09038172567900347e+01  1.32107368466187138e+07  1.45107326988124800e+17  2.67652569512779650e+15  1.59872395097422491e+01  0.00000000000000000e+00  1.29267908112950325e+00  8.51028457042167674e-01  0.00000000000000000e+00  7.01986553470811070e-01  2.82602115153793909e-01  1.15538059042226685e-05  3.69154293616617574e-03  6.61689216380150717e-03  1.30599353794390847e-03  7.91396084172139511e-04  8.29395896149018948e-04  4.23297905521931956e-04  1.13099440383961051e-04  7.38096347899202924e-05  3.82798105914944333e-06  3.42898303339186434e-05  0.00000000000000000e+00  1.46099277100764698e-03  0.00000000000000000e+00                        -                        -
     8  2.42488072190514975e+30  2.22486541898447589e+31  4.01009242374224663e+09 -5.33996268352008796e-09  8.04579319556466714e+01  1.31668257460180037e+07  1.43839244806179216e+17  2.66781249786785900e+15  1.59897057776119897e+01  0.00000000000000000e+00  1.29250725728183147e+00  8.51097136895927031e-01  0.00000000000000000e+00  7.02125592166333967e-01  2.82461953186471826e-01  1.19736498770261373e-05  3.69099077151664300e-03  6.61696341715152080e-03  1.30599353794390825e-03  7.91396084172139511e-04  8.29395896149018948e-04  4.23297905521932011e-04  1.13099440383961051e-04  7.38096347899202924e-05  3.82798105914944333e-06  3.42898303339186366e-05  0.00000000000000000e+00  1.46099277100764698e-03  0.00000000000000000e+00                        -                        -
     9  2.61343813678244756e+30  2.48620923266272042e+31  4.16554448821638393e+09 -5.51239200586308435e-09  8.00516580673998135e+01  1.31268534058665112e+07  1.42688821053024448e+17  2.65988279746479600e+15  1.59919986231003257e+01  0.00000000000000000e+00  1.29234874936404176e+00  8.51160505890167896e-01  0.00000000000000000e+00  7.02253818339657720e-01  2.82332711656411606e-01  1.25555859635673856e-05  3.69025728841797501e-03  6.61702576876794114e-03  1.30599353794390717e-03  7.91396084172139185e-04  8.29395896149018514e-04  4.23297905521931794e-04  1.13099440383960997e-04  7.38096347899202653e-05  3.82798105914944248e-06  3.42898303339186163e-05  0.00000000000000000e+00  1.46099277100764633e-03  0.00000000000000000e+00                        -                        -
    10  2.81665767437119624e+30  2.76787500009984016e+31  4.32182705256087780e+09 -5.68220608850101278e-09  7.96302642814765278e+01  1.30853966512650754e+07  1.41498829076441584e+17  2.65163392123492450e+15  1.59942659988584488e+01  0.00000000000000000e+00  1.29219845902700436e+00  8.51220611534108440e-01  0.00000000000000000e+00  7.02375537327491251e-01  2.82209941071074055e-01  1.33179986930583492e-05  3.68931986454297967e-03  6.61708056003337385e-03  1.30599353794390717e-03  7.91396084172139294e-04  8.29395896149018623e-04  4.23297905521931794e-04  1.13099440383961010e-04  7.38096347899202653e-05  3.82798105914944248e-06  3.42898303339186230e-05  0.00000000000000000e+00  1.46099277100764655e-03  0.00000000000000000e+00                        -                        -
    11  2.39660129367226408e+30  3.00753512946706665e+31  4.44702338731472397e+09 -5.81567292710329049e-09  7.92390879009193014e+01  1.30470797596933451e+07  1.40401158022774416e+17  2.64403050648440800e+15  1.59965429890376534e+01  0.00000000000000000e+00  1.29204595179234216e+00  8.51281599953432777e-01  0.00000000000000000e+00  7.02498868213822902e-01  2.82085675119976509e-01  1.44044595187944447e-05  3.68800500938333770e-03  6.61713463721007745e-03  1.30599353794390630e-03  7.91396084172139185e-04  8.29395896149018297e-04  4.23297905521931577e-04  1.13099440383960942e-04  7.38096347899202247e-05  3.82798105914944248e-06  3.42898303339186027e-05  0.00000000000000000e+00  1.46099277100764612e-03  0.00000000000000000e+00                        -                        -
    12  2.59782765164899859e+30  3.26731789463196662e+31  4.57579220700039673e+09 -5.95052891908691738e-09  7.88744058328858557e+01  1.30113907863057498e+07  1.39381851348000576e+17  2.63695070085904800e+15  1.59987071904238629e+01  0.00000000000000000e+00  1.29190184119497564e+00  8.51339234044273252e-01  0.00000000000000000e+00  7.02615364602021675e-01  2.81968347537271402e-01  1.57894611283294236e-05  3.68634646655703353e-03  6.61718344591313932e-03  1.30599353794390608e-03  7.91396084172139077e-04  8.29395896149017972e-04  4.23297905521931577e-04  1.13099440383960902e-04  7.38096347899202247e-05  3.82798105914944079e-06  3.42898303339185959e-05  0.00000000000000000e+00  1.46099277100764568e-03  0.00000000000000000e+00                        -                        -
    13  2.81594962227998991e+30  3.54891285685996539e+31  4.70827261165958309e+09 -6.08667890551718506e-09  7.84905835613519542e+01  1.29738067586442325e+07  1.38311040966711136e+17  2.62946660798055650e+15  1.60008437950458671e+01  0.00000000000000000e+00  1.29176672181166086e+00  8.51393290082224641e-01  0.00000000000000000e+00  7.02724742687310777e-01  2.81858103008933769e-01  1.74311006302628638e-05  3.68439448390005773e-03  6.61722543056614959e-03  1.30599353794390608e-03  7.91396084172139077e-04  8.29395896149017972e-04  4.23297905521931577e-04  1.13099440383960902e-04  7.38096347899202247e-05  3.82798105914944079e-06  3.42898303339185959e-05  0.00000000000000000e+00  1.46099277100764568e-03  0.00000000000000000e+00                        -                        -
    14  2.38643624666565420e+30  3.78755648152653092e+31  4.81546019575864506e+09 -6.19491424450159499e-09  7.81308842362041958e+01  1.29387449161486104e+07  1.37313943833016576e+17  2.62250938854370300e+15  1.60030378230945267e+01  0.00000000000000000e+00  1.29162468246908579e+00  8.51450098468324534e-01  0.00000000000000000e+00  7.02839503762683893e-01  2.81742632602929644e-01  1.97038066959514640e-05  3.68170469036791740e-03  6.61726920556291939e-03  1.30599353794390608e-03  7.91396084172139511e-04  8.29395896149018081e-04  4.23297905521931739e-04  1.13099440383960970e-04  7.38096347899202518e-05  3.82798105914944079e-06  3.42898303339186095e-05  0.00000000000000000e+00  1.46099277100764568e-03  0.00000000000000000e+00                        -                        -
    15  2.58331354279829558e+30  4.04588783580636025e+31  4.92682122506089687e+09 -6.30551275554776029e-09  7.77953708714927359e+01  1.29059837906136271e+07  1.36384916638878848e+17  2.61598192595437600e+15  1.60049414667083632e+01  0.00000000000000000e+00  1.29150790997054421e+00  8.51496815296436282e-01  0.00000000000000000e+00  7.02933985734108147e-01  2.81647491883136591e-01  2.19603494239215260e-05  3.67904335552663624e-03  6.61730200745852017e-03  1.30599353794390608e-03  7.91396084172139511e-04  8.29395896149018081e-04  4.23297905521931685e-04  1.13099440383960956e-04  7.38096347899202518e-05  3.82798105914944079e-06  3.42898303339186095e-05  0.00000000000000000e+00  1.46099277100764568e-03  0.00000000000000000e+00                        -                        -
    16  2.79643291109467191e+30  4.32553112691582761e+31  5.04247123214567471e+09 -6.41837764036854179e-09  7.74391743537270827e+01  1.28713316846066806e+07  1.35404536722432176e+17  2.60910486558391750e+15  1.60071632441698881e+01  0.00000000000000000e+00  1.29136686138356560e+00  8.51553218927283195e-01  0.00000000000000000e+00  7.03047864564318448e-01  2.81533074332555922e-01  2.54389598944536661e-05  3.67495011571094404e-03  6.61734184852526448e-03  1.30599353794390608e-03  7.91396084172139294e-04  8.29395896149018081e-04  4.23297905521931685e-04  1.13099440383960942e-04  7.38096347899202653e-05  3.82798105914944079e-06  3.42898303339186095e-05  0.00000000000000000e+00  1.46099277100764546e-03  0.00000000000000000e+00                        -                        -
    17  2.37215734976916900e+30  4.56274686189274431e+31  5.13697496870910263e+09 -6.50908092813499582e-09  7.71052341684181357e+01  1.28388351232347023e+07  1.34486787967581664e+17  2.60262675236789500e+15  1.60090984348600429e+01  0.00000000000000000e+00  1.29125182928174298e+00  8.51599231175199534e-01  0.00000000000000000e+00  7.03140875963652046e-01  2.81439551478609884e-01  2.87752616938518994e-05  3.67103213887050740e-03  6.61737113394370979e-03  1.30599353794390608e-03  7.91396084172139294e-04  8.29395896149018081e-04  4.23297905521931685e-04  1.13099440383960942e-04  7.38096347899202653e-05  3.82798105914944079e-06  3.42898303339186095e-05  0.00000000000000000e+00  1.46099277100764546e-03  0.00000000000000000e+00                        -                        -
    18  2.56870019846258072e+30  4.81961688173900272e+31  5.23593066199851704e+09 -6.60259340052789994e-09  7.67907187346593219e+01  1.28083301095714457e+07  1.33627606533188512e+17  2.59657518497234400e+15  1.60111286613979829e+01  0.00000000000000000e+00  1.29112489805958219e+00  8.51649968381301692e-01  0.00000000000000000e+00  7.03243241272418773e-01  2.81336931200946327e-01  3.33844764242198223e-05  3.66562570338197641e-03  6.61740429771868859e-03  1.30599353794390695e-03  7.91396084172139836e-04  8.29395896149018297e-04  4.23297905521931902e-04  1.13099440383960997e-04  7.38096347899203195e-05  3.82798105914944333e-06  3.42898303339186298e-05  0.00000000000000000e+00  1.46099277100764633e-03  0.00000000000000000e+00                        -                        -
    19  2.78152741858535010e+30  5.09776962359753762e+31  5.33947045341664505e+09 -6.69880498101931184e-09  7.64572393652443054e+01  1.27759297271163668e+07  1.32717074554411312e+17  2.59011347065407200e+15  1.60130932943679589e+01  0.00000000000000000e+00  1.29101080223138531e+00  8.51695588625723921e-01  0.00000000000000000e+00  7.03335415133634734e-01  2.81244435947513638e-01  3.80827202092235231e-05  3.66012126515782334e-03  6.61743075921391189e-03  1.30599353794390717e-03  7.91396084172139944e-04  8.29395896149018406e-04  4.23297905521931956e-04  1.13099440383961010e-04  7.38096347899203195e-05  3.82798105914944417e-06  3.42898303339186366e-05  0.00000000000000000e+00  1.46099277100764655e-03  0.00000000000000000e+00                        -                        -
    20  2.35899701314284176e+30  5.33366932491182216e+31  5.42458305278793526e+09 -6.77666091305991000e-09  7.61417610692958391e+01  1.27454301940038390e+07  1.31861454694684448e+17  2.58406200237965250e+15  1.60151791759586537e+01  0.00000000000000000e+00  1.29088326297283884e+00  8.51746537798148906e-01  0.00000000000000000e+00  7.03438153800457378e-01  2.81141721896504493e-01  4.46006679761333768e-05  3.65249013852328398e-03  6.61746144977370249e-03  1.30599353794390739e-03  7.91396084172139944e-04  8.29395896149018623e-04  4.23297905521932227e-04  1.13099440383961064e-04  7.38096347899203060e-05  3.82798105914944671e-06  3.42898303339186298e-05  0.00000000000000000e+00  1.46099277100764698e-03  0.00000000000000000e+00                        -                        -
    21  2.55427225704214565e+30  5.58909655061603707e+31  5.51416931509082890e+09 -6.85737685753729785e-09  7.58456372882415337e+01  1.27167249362743329e+07  1.31058266759914080e+17  2.57833495028530850e+15  1.60169566366030658e+01  0.00000000000000000e+00  1.29078258016370628e+00  8.51786770799679793e-01  0.00000000000000000e+00  7.03519403251332776e-01  2.81060402840233703e-01  5.02699987190916015e-05  3.64585728861489648e-03  6.61748274201172382e-03  1.30599353794390782e-03  7.91396084172140161e-04  8.29395896149018623e-04  4.23297905521932282e-04  1.13099440383961078e-04  7.38096347899203195e-05  3.82798105914944756e-06  3.42898303339186366e-05  0.00000000000000000e+00  1.46099277100764720e-03  0.00000000000000000e+00                        -                        -
    22  2.76571217629605243e+30  5.86566776824564254e+31  5.60838522879239845e+09 -6.94092357388592167e-09  7.55289364496723152e+01  1.26861544625683930e+07  1.30204739179853696e+17  2.57226891205902200e+15  1.60190933121044203e+01  0.00000000000000000e+00  1.29065392587868821e+00  8.51838121749688093e-01  0.00000000000000000e+00  7.03622898326646928e-01  2.80957284359178272e-01  5.91437792443527867e-05  3.63547947408828214e-03  6.61751139410370233e-03  1.30599353794390717e-03  7.91396084172140161e-04  8.29395896149018623e-04  4.23297905521932336e-04  1.13099440383961092e-04  7.38096347899203195e-05  3.82798105914944671e-06  3.42898303339186298e-05  0.00000000000000000e+00  1.46099277100764763e-03  0.00000000000000000e+00                        -                        -
    23  2.34572199312118767e+30  6.10023996755776170e+31  5.68618651461145878e+09 -7.00885093400411009e-09  7.52304200309889382e+01  1.26572990970132910e+07  1.29400482160991664e+17  2.56650984889967400e+15  1.60209222091825936e+01  0.00000000000000000e+00  1.29055297588154216e+00  8.51878428120954267e-01  0.00000000000000000e+00  7.03704256278022577e-01  2.80876124621429912e-01  6.66724868526747533e-05  3.62667893363540720e-03  6.61753087781017605e-03  1.30599353794390695e-03  7.91396084172139944e-04  8.29395896149018406e-04  4.23297905521932282e-04  1.13099440383961078e-04  7.38096347899203060e-05  3.82798105914944587e-06  3.42898303339186298e-05  0.00000000000000000e+00  1.46099277100764742e-03  0.00000000000000000e+00                        -                        -
