# VERSION  10202
#
# format                    ions (mass fraction)     
# created at                Wed Sep  6 03:08:28 2017 
# created by                alex                     
# created on                aurum.maths.monash.edu   
# created from              /home/alex/Downloads/s1#30000
# file date                 Wed Sep  6 02:53:22 2017 
# created as                /home/alex/Downloads/s1@30000
# cycle                     30000                    
# time (sec)                3.43062731611546752e+17  
# time offset (sec)         0.00000000000000000e+00  
# GIT  SHA                  0000000000000000000000000000000000000000
# GIT  BRANCH               (NOT ON BRANCH)
# UUID PROG                 00000000-0000-0000-0000-000000000000 
# UUID RUN                  00000000-0000-0000-0000-000000000000 
# UUID CYCLE                00000000-0000-0000-0000-000000000000 
# UUID DUMP                 00000000-0000-0000-0000-000000000000 
# UUID EXEC                 00000000-0000-0000-0000-000000000000 
# UUID THIS FILE            a7fa6c38-92b0-11e7-bb1f-3417ebbdc1fc (Wed Sep  6 03:08:28 2017)
#
# grid                cell mass    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure   cell spec. int. energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e                      nt1                       h1                      he4                      c12                      n14                      o16                     ne20                     mg24                     si28                      s32                     ar36                     ca40                     ti44                     cr48                     fe52                     fe54                     ni56                     fe56                     'fe'
# unit                        g                        g                       cm                   cm/sec                  g/cm**3                        K                dyn/cm**2                    erg/g                kb/baryon                  rad/sec                      amu                                     mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction
     1  3.97839801079988994e+30  3.97839801079988994e+30  1.26159376094218805e+08 -7.13805875895968902e-08  4.72999870729464863e+05  5.36456602728990242e+07  8.51276802760173525e+21  2.81633181835803440e+16  3.16764681662461056e+00  0.00000000000000000e+00  4.04611102169000780e+00  4.99972944578314593e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85194948238466206e-01  4.53165895630304189e-05  7.47004489074547078e-03  2.25358717434438489e-03  1.30599356341739854e-03  7.91396084172115225e-04  8.29395896149019598e-04  4.23297905521930384e-04  1.13099440383960034e-04  7.38096347899197368e-05  3.82798105914945349e-06  3.42898303339183655e-05  0.00000000000000000e+00  1.46099277100763419e-03  0.00000000000000000e+00                        -                        -
     2  2.65226407137334419e+30  6.63066208217323412e+30  1.50006929617874861e+08 -8.50521229668343810e-08  4.63024049513378821e+05  5.36945639500934333e+07  8.23640943743339489e+21  2.78148129899814880e+16  3.17501059626342963e+00  0.00000000000000000e+00  4.04611337504069812e+00  4.99972944578314704e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85194373234757337e-01  4.54449950314259955e-05  7.46572023919654139e-03  2.25835842968661639e-03  1.30599355788835712e-03  7.91396084172142546e-04  8.29395896149031850e-04  4.23297905521936618e-04  1.13099440383962474e-04  7.38096347899215664e-05  3.82798105914951702e-06  3.42898303339194972e-05  0.00000000000000000e+00  1.46099277100766932e-03  0.00000000000000000e+00                        -                        -
     3  2.64846313406364148e+30  9.27912521623687560e+30  1.68229581480987400e+08 -9.55703977360242492e-08  4.56307983677890676e+05  5.37279692649735659e+07  8.05219102445505033e+21  2.75785730263649920e+16  3.18007165863181740e+00  0.00000000000000000e+00  4.04611528327507219e+00  4.99972944578314649e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85193906988540480e-01  4.55678596712655155e-05  7.46216982414849191e-03  2.26225222933197634e-03  1.30599355483987530e-03  7.91396084172117827e-04  8.29395896149013635e-04  4.23297905521928162e-04  1.13099440383960482e-04  7.38096347899197097e-05  3.82798105914942723e-06  3.42898303339182368e-05  0.00000000000000000e+00  1.46099277100762899e-03  0.00000000000000000e+00                        -                        -
     4  2.64466764384519340e+30  1.19237928600820684e+31  1.83343989356919587e+08 -1.04347745130547951e-07  4.50329273237108428e+05  5.37579884135324731e+07  7.88945032593849136e+21  2.73671526994721760e+16  3.18464958407914445e+00  0.00000000000000000e+00  4.04611662727871391e+00  4.99972944578314760e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85193578603310249e-01  4.56774082972020748e-05  7.45961550773052273e-03  2.26502538470100493e-03  1.30599355251806567e-03  7.91396084172151003e-04  8.29395896149027079e-04  4.23297905521940413e-04  1.13099440383963260e-04  7.38096347899204822e-05  3.82798105914950092e-06  3.42898303339195853e-05  0.00000000000000000e+00  1.46099277100767647e-03  0.00000000000000000e+00                        -                        -
     5  2.37678632243552905e+30  1.43005791825175969e+31  1.95201091632888436e+08 -1.11270440355193259e-07  4.45127553776425833e+05  5.37843129968496859e+07  7.74882511878231268e+21  2.71823379699247160e+16  3.18868961313837529e+00  0.00000000000000000e+00  4.04611757231503688e+00  4.99972944578314649e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85193347699309552e-01  4.57826287231396752e-05  7.45775366050917352e-03  2.26701291724238849e-03  1.30599355075542421e-03  7.91396084172126717e-04  8.29395896149007997e-04  4.23297905521932390e-04  1.13099440383961349e-04  7.38096347899202653e-05  3.82798105914944079e-06  3.42898303339185756e-05  0.00000000000000000e+00  1.46099277100764048e-03  0.00000000000000000e+00                        -                        -
     6  2.62470675084515713e+30  1.69252859333627541e+31  2.06932665073322177e+08 -1.18154664553625896e-07  4.40261187393383705e+05  5.38091308868158385e+07  7.61808456969866759e+21  2.70086945675233640e+16  3.19251867745586582e+00  0.00000000000000000e+00  4.04611822763364604e+00  4.99972944578314649e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85193187583127794e-01  4.58889500030741439e-05  7.45638475991826626e-03  2.26843561418164311e-03  1.30599354929748085e-03  7.91396084172132355e-04  8.29395896148998456e-04  4.23297905521921819e-04  1.13099440383958178e-04  7.38096347899182866e-05  3.82798105914937641e-06  3.42898303339181961e-05  0.00000000000000000e+00  1.46099277100761316e-03  0.00000000000000000e+00                        -                        -
     7  2.89848753457685369e+30  1.98237734679396077e+31  2.18635505259592801e+08 -1.25058955404832678e-07  4.35193654445294174e+05  5.38351582871116772e+07  7.48278509680104414e+21  2.68270976768737800e+16  3.19655809120317569e+00  0.00000000000000000e+00  4.04611857867964719e+00  4.99972944578314760e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85193101810982075e-01  4.59926007288695174e-05  7.45554249869427067e-03  2.26925999819194797e-03  1.30599354795596259e-03  7.91396084172152846e-04  8.29395896149014286e-04  4.23297905521934884e-04  1.13099440383960604e-04  7.38096347899198587e-05  3.82798105914950431e-06  3.42898303339185011e-05  0.00000000000000000e+00  1.46099277100764893e-03  0.00000000000000000e+00                        -                        -
     8  2.42488072190514975e+30  2.22486541898447589e+31  2.27635371465170473e+08 -1.30395056209988138e-07  4.30574683370949875e+05  5.38590292904974818e+07  7.36021739329705581e+21  2.66608757838111360e+16  3.20028717655912365e+00  0.00000000000000000e+00  4.04611863464589128e+00  4.99972944578314704e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85193088136611328e-01  4.60980015175179413e-05  7.45520083938170774e-03  2.26950993214116445e-03  1.30599354687039237e-03  7.91396084172132138e-04  8.29395896149021116e-04  4.23297905521931956e-04  1.13099440383958869e-04  7.38096347899194115e-05  3.82798105914936540e-06  3.42898303339175931e-05  0.00000000000000000e+00  1.46099277100759884e-03  0.00000000000000000e+00                        -                        -
     9  2.61343813678244756e+30  2.48620923266272042e+31  2.36683971072552174e+08 -1.35784723502233067e-07  4.26375707976357138e+05  5.38808765625209808e+07  7.24942335727008062e+21  2.65091827696500600e+16  3.20371743687513355e+00  0.00000000000000000e+00  4.04611843465735266e+00  4.99972944578314593e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85193137000560215e-01  4.62075673027989076e-05  7.45528723023329912e-03  2.26926511244359861e-03  1.30599354598434983e-03  7.91396084172126283e-04  8.29395896149003444e-04  4.23297905521925722e-04  1.13099440383958151e-04  7.38096347899190185e-05  3.82798105914938996e-06  3.42898303339183994e-05  0.00000000000000000e+00  1.46099277100762096e-03  0.00000000000000000e+00                        -                        -
    10  2.81665767437119624e+30  2.76787500009984016e+31  2.45808561292698771e+08 -1.41245958451441905e-07  4.22024693069806730e+05  5.39036501110583246e+07  7.13525237102729914e+21  2.63514009127030840e+16  3.20731311251555695e+00  0.00000000000000000e+00  4.04611801453034925e+00  4.99972944578314760e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85193239651740549e-01  4.63083926762276321e-05  7.45577052578904210e-03  2.26857834120228717e-03  1.30599354516066453e-03  7.91396084172153172e-04  8.29395896149024694e-04  4.23297905521938407e-04  1.13099440383962311e-04  7.38096347899216612e-05  3.82798105914948060e-06  3.42898303339196192e-05  0.00000000000000000e+00  1.46099277100769339e-03  0.00000000000000000e+00                        -                        -
