                    Mass                  Pressure               Temperature                    Radius                   Density                      Eint                     Xfrac                     Yfrac                        mu
 2.3869199999999998E+034   5.9167704615457558E+002   1.6087025392115238E+003   4.3061478138863500E+013   2.7116241971626786E-009   3.2730035589848401E+011   7.1740000000000026E-001   2.6840000000000003E-001   6.0856864654332987E-001
 2.3869199999988067E+034   5.9167704700727700E+002   1.6087025395073886E+003   4.3061478138674562E+013   2.7116242005718547E-009   3.2730035595867950E+011   7.1740000000000026E-001   2.6840000000000003E-001   6.0856864654332987E-001
 2.3869199999953747E+034   5.9167704923649842E+002   1.6087025402808642E+003   4.3061478138131469E+013   2.7116242094844892E-009   3.2730035611604779E+011   7.1740000000000026E-001   2.6840000000000003E-001   6.0856864654332987E-001
 2.3869199999867154E+034   5.9167705812026497E+002   1.6087025433632753E+003   4.3061478136760875E+013   2.7116242450026122E-009   3.2730035674318317E+011   7.1740000000000026E-001   2.6840000000000003E-001   6.0856864654332987E-001
 2.3869199999471904E+034   5.9167709190243818E+002   1.6087025550847302E+003   4.3061478130505156E+013   2.7116243800668509E-009   3.2730035912798474E+011   7.1740000000000026E-001   2.6840000000000003E-001   6.0856864654332987E-001
 2.3869199998034852E+034   5.9167720122288688E+002   1.6087025930158302E+003   4.3061478107760555E+013   2.7116248171400414E-009   3.2730036684529865E+011   7.1740000000000026E-001   2.6840000000000003E-001   6.0856864654332987E-001
 2.3869199993542498E+034   5.9167748789537450E+002   1.6087026924830898E+003   4.3061478036659203E+013   2.7116259632828270E-009   3.2730038708252008E+011   7.1740000000000026E-001   2.6840000000000003E-001   6.0856864654332987E-001
 2.3869199982486096E+034   5.9167807354584011E+002   1.6087028956874528E+003   4.3061477861667195E+013   2.7116283047661195E-009   3.2730042842568866E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869199961777560E+034   5.9167912526212194E+002   1.6087032606042599E+003   4.3061477533909156E+013   2.7116325096199840E-009   3.2730050267024164E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869199925442330E+034   5.9168089920385398E+002   1.6087038761153733E+003   4.3061476958825164E+013   2.7116396019871147E-009   3.2730062789973657E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869199865561197E+034   5.9168442210252658E+002   1.6087050984744844E+003   4.3061476011078820E+013   2.7116536868039742E-009   3.2730087659616260E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869199734364757E+034   5.9169045548405109E+002   1.6087071919316656E+003   4.3061473934626258E+013   2.7116778086348830E-009   3.2730130252281073E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869199538318267E+034   5.9169868391316697E+002   1.6087100470699461E+003   4.3061470831816328E+013   2.7117107062233502E-009   3.2730188341813019E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869199288065375E+034   5.9170912769231290E+002   1.6087136709743052E+003   4.3061466871133547E+013   2.7117524605773659E-009   3.2730262072360309E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869198971861355E+034   5.9172551793684863E+002   1.6087193583987355E+003   4.3061461866736961E+013   2.7118179883455877E-009   3.2730377786483636E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869198399080364E+034   5.9175133592445900E+002   1.6087283176726198E+003   4.3061452801846070E+013   2.7119212063407462E-009   3.2730560068382214E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869197571529278E+034   5.9178391659765214E+002   1.6087396244722240E+003   4.3061439705429148E+013   2.7120514580222664E-009   3.2730790112125189E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869196631951632E+034   5.9182797940770536E+002   1.6087549172011666E+003   4.3061424836839406E+013   2.7122276083444068E-009   3.2731101252034753E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869195181629206E+034   5.9191157454910319E+002   1.6087839337002181E+003   4.3061401887307320E+013   2.7125617824819228E-009   3.2731691610428235E+011   7.1740000000000015E-001   2.6840000000000008E-001   6.0856864654332998E-001
 2.3869192097887175E+034   5.9207885440491555E+002   1.6088420123432675E+003   4.3061353096889898E+013   2.7132304280895550E-009   3.2732873255889496E+011   7.1739999999999926E-001   2.6840000000000092E-001   6.0856864654333043E-001
 2.3869186108681951E+034   5.9242958542823271E+002   1.6089638435011968E+003   4.3061258359787664E+013   2.7146321020190097E-009   3.2735351985198932E+011   7.1739999999997750E-001   2.6840000000002268E-001   6.0856864654334053E-001
 2.3869173075053520E+034   5.9311302614146416E+002   1.6092014975574707E+003   4.3061052299183711E+013   2.7173623940261915E-009   3.2740187202107629E+011   7.1739999999994608E-001   2.6840000000005410E-001   6.0856864654335496E-001
 2.3869149041139066E+034   5.9443559244872233E+002   1.6096622956156605E+003   4.3060672701572539E+013   2.7226421311512710E-009   3.2749562420007819E+011   7.1739999999988147E-001   2.6840000000011865E-001   6.0856864654338494E-001
 2.3869101345928986E+034   5.9690533519467897E+002   1.6105261306920354E+003   4.3059920832644734E+013   2.7324876749170661E-009   3.2767137672172797E+011   7.1739999999967163E-001   2.6840000000032865E-001   6.0856864654348208E-001
 2.3869015104212434E+034   6.0037059351932191E+002   1.6117467123925844E+003   4.3058566147530461E+013   2.7462694499052449E-009   3.2791971152258044E+011   7.1739999999895676E-001   2.6840000000104342E-001   6.0856864654381304E-001
 2.3868913444041737E+034   6.0485238601247227E+002   1.6133384924740956E+003   4.3056977174385602E+013   2.7640406711619482E-009   3.2824356889832361E+011   7.1739999998777937E-001   2.6840000001222075E-001   6.0856864654898757E-001
 2.3868772116107733E+034   6.1136730085686099E+002   1.6156792165443831E+003   4.3054782194137094E+013   2.7897650748231067E-009   3.2871977464202258E+011   7.1739988458644188E-001   2.6840011529788727E-001   6.0856869998414509E-001
 2.3868560296633996E+034   6.2296444072351107E+002   1.6199181186680823E+003   4.3051522323917617E+013   2.8352548261944856E-009   3.2958118888638287E+011   7.1739601984050905E-001   2.6840303780115410E-001   6.0857057639534662E-001
 2.3868143666450389E+034   6.3542359470524298E+002   1.6246224175793632E+003   4.3045211918895422E+013   2.8837611570135448E-009   3.3051814467161536E+011   7.1732303375513107E-001   2.6844008069239039E-001   6.0860769536204329E-001
 2.3867885518373852E+034   6.4472875117608692E+002   1.6282049410149207E+003   4.3041366792065812E+013   2.9198252871479236E-009   3.3121609234137378E+011   7.1721012776204396E-001   2.6850458177487235E-001   6.0866445893507726E-001
 2.3867639880883000E+034   6.5713152650015934E+002   1.6330802255709020E+003   4.3037752575962117E+013   2.9674336216824853E-009   3.3217163734327405E+011   7.1706936598910420E-001   2.6863293643134617E-001   6.0873080073284436E-001
 2.3867214244864289E+034   6.6877377535122696E+002   1.6376955915108588E+003   4.3031589005608008E+013   3.0127847086782974E-009   3.3296792005132086E+011   7.1650776209053602E-001   2.6919172329670110E-001   6.0899130327434281E-001
 2.3867010118884074E+034   6.7931385541593716E+002   1.6416966883863092E+003   4.3028676969356320E+013   3.0559036632102941E-009   3.3344335762162109E+011   7.1517664116343704E-001   2.7052630934701238E-001   6.0960869897937997E-001
 2.3866644251716582E+034   6.9146868288117662E+002   1.6461252982024541E+003   4.3023530235505781E+013   3.1084347309830764E-009   3.3367373256948621E+011   7.1254887309648429E-001   2.7316130995300608E-001   6.1083114654842552E-001
